canonical_key,class,method,file,jdk_annotation,cache_result,randoop_sef,category,randoop_vs_cache,red_alert,reasons
java.util.ArrayList$SubList.replaceAll(java.util.function.UnaryOperator),java.util.ArrayList$SubList,replaceAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,UnaryOperator parameter escapes to global scope; mutates loaded object 'callee: load elementData from parameter this' via field array element
java.util.ArrayList$SubList.retainAll(java.util.Collection),java.util.ArrayList$SubList,retainAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; mutates this via field modCount; mutates loaded object 'callee: callee: load root from parameter this' via field modCount ... (+5 more)
"java.util.ArrayList$SubList.set(int,java.lang.Object)",java.util.ArrayList$SubList,set,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates loaded object 'callee: load elementData from parameter this' via field array element
java.util.ArrayList$SubList.size(),java.util.ArrayList$SubList,size,ArrayList.java,Pure,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.ArrayList$SubList.spliterator(),java.util.ArrayList$SubList,spliterator,ArrayList.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
"java.util.ArrayList$SubList.subList(int,int)",java.util.ArrayList$SubList,subList,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$SubList.toArray(),java.util.ArrayList$SubList,toArray,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field unknown; loaded object 'load elementData from callee: load root from parameter this' escapes to global scope
java.util.ArrayList$SubList.toArray(java.lang.Object[]),java.util.ArrayList$SubList,toArray,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field unknown; Object[] parameter escapes to global scope; mutates Object[] parameter via field array element ... (+1 more)
java.util.ArrayList$SubList.updateSizeAndModCount(int),java.util.ArrayList$SubList,updateSizeAndModCount,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; mutates this via field modCount; mutates loaded object 'load parent from parameter this' via field modCount ... (+1 more)
java.util.ArrayList.<init>(),java.util.ArrayList,<init>,ArrayList.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.ArrayList.<init>(java.util.Collection),java.util.ArrayList,<init>,ArrayList.java,SideEffectFree,SIDE_EFFECTING,False,Annotated Mismatch,Both Side-Effecting,False,Collection parameter escapes to global scope
"java.util.ArrayList.add(int,java.lang.Object)",java.util.ArrayList,add,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope; mutates this via field modCount; mutates this via field elementData ... (+4 more)
java.util.ArrayList.add(java.lang.Object),java.util.ArrayList,add,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field elementData; mutates this via field size ... (+1 more)
"java.util.ArrayList.add(java.lang.Object,java.lang.Object[],int)",java.util.ArrayList,add,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field elementData; mutates this via field size; mutates Object[] parameter via field array element
"java.util.ArrayList.addAll(int,java.util.Collection)",java.util.ArrayList,addAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope; mutates this via field array element; mutates this via field size ... (+4 more)
java.util.ArrayList.addAll(java.util.Collection),java.util.ArrayList,addAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field array element; mutates this via field size; mutates this via field modCount ... (+2 more)
java.util.ArrayList.addFirst(java.lang.Object),java.util.ArrayList,addFirst,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope; mutates this via field modCount; mutates this via field elementData ... (+4 more)
java.util.ArrayList.addLast(java.lang.Object),java.util.ArrayList,addLast,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field elementData; mutates this via field size ... (+1 more)
java.util.ArrayList.checkInvariants(),java.util.ArrayList,checkInvariants,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.clear(),java.util.ArrayList,clear,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; mutates loaded object 'load elementData from parameter this' via field array element
java.util.ArrayList.clone(),java.util.ArrayList,clone,ArrayList.java,SideEffectFree,SIDE_EFFECTING,True,Annotated Mismatch,Randoop Only SEF,False,writes to static field modCount; writes to static field elementData; writes to static field unknown ... (+2 more)
java.util.ArrayList.contains(java.lang.Object),java.util.ArrayList,contains,ArrayList.java,Pure,SIDE_EFFECT_FREE,True,Match,Both SEF,False,
"java.util.ArrayList.elementAt(java.lang.Object[],int)",java.util.ArrayList,elementAt,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.elementData(int),java.util.ArrayList,elementData,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.ensureCapacity(int),java.util.ArrayList,ensureCapacity,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field elementData
java.util.ArrayList.equals(java.lang.Object),java.util.ArrayList,equals,ArrayList.java,Pure,SIDE_EFFECTING,False,Annotated Mismatch,Both Side-Effecting,False,Object parameter escapes to global scope; loaded object 'callee: load elementData from parameter this' escapes to global scope; loaded object 'callee: load elementData from parameter this' escapes to global scope
java.util.ArrayList.equalsArrayList(java.util.ArrayList),java.util.ArrayList,equalsArrayList,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.ArrayList.equalsRange(java.util.List,int,int)",java.util.ArrayList,equalsRange,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,List parameter escapes to global scope
"java.util.ArrayList.fastRemove(java.lang.Object[],int)",java.util.ArrayList,fastRemove,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; Object[] parameter escapes to global scope ... (+1 more)
java.util.ArrayList.forEach(java.util.function.Consumer),java.util.ArrayList,forEach,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,Consumer parameter escapes to global scope
java.util.ArrayList.get(int),java.util.ArrayList,get,ArrayList.java,Pure,SIDE_EFFECT_FREE,True,Match,Both SEF,False,
java.util.ArrayList.getFirst(),java.util.ArrayList,getFirst,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,loaded object 'callee: load elementData from parameter this' escapes to global scope
java.util.ArrayList.getLast(),java.util.ArrayList,getLast,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,loaded object 'callee: load elementData from parameter this' escapes to global scope
java.util.ArrayList.grow(),java.util.ArrayList,grow,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field elementData
java.util.ArrayList.grow(int),java.util.ArrayList,grow,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field elementData
java.util.ArrayList.hashCode(),java.util.ArrayList,hashCode,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.ArrayList.hashCodeRange(int,int)",java.util.ArrayList,hashCodeRange,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.indexOf(java.lang.Object),java.util.ArrayList,indexOf,ArrayList.java,Pure,SIDE_EFFECT_FREE,True,Match,Both SEF,False,
"java.util.ArrayList.indexOfRange(java.lang.Object,int,int)",java.util.ArrayList,indexOfRange,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.ArrayList.isClear(long[],int)",java.util.ArrayList,isClear,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.isEmpty(),java.util.ArrayList,isEmpty,ArrayList.java,Pure,SIDE_EFFECT_FREE,True,Match,Both SEF,False,
java.util.ArrayList.iterator(),java.util.ArrayList,iterator,ArrayList.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.ArrayList.lastIndexOf(java.lang.Object),java.util.ArrayList,lastIndexOf,ArrayList.java,Pure,SIDE_EFFECT_FREE,True,Match,Both SEF,False,
"java.util.ArrayList.lastIndexOfRange(java.lang.Object,int,int)",java.util.ArrayList,lastIndexOfRange,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.listIterator(),java.util.ArrayList,listIterator,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.listIterator(int),java.util.ArrayList,listIterator,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope
java.util.ArrayList.nBits(int),java.util.ArrayList,nBits,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.rangeCheckForAdd(int),java.util.ArrayList,rangeCheckForAdd,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope
java.util.ArrayList.remove(int),java.util.ArrayList,remove,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; loaded object 'load elementData from parameter this' escapes to global scope ... (+1 more)
java.util.ArrayList.remove(java.lang.Object),java.util.ArrayList,remove,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; loaded object 'load elementData from parameter this' escapes to global scope ... (+1 more)
java.util.ArrayList.removeAll(java.util.Collection),java.util.ArrayList,removeAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; loaded object 'callee: load elementData from parameter this' escapes to global scope ... (+1 more)
java.util.ArrayList.removeFirst(),java.util.ArrayList,removeFirst,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; loaded object 'load elementData from parameter this' escapes to global scope ... (+1 more)
java.util.ArrayList.removeIf(java.util.function.Predicate),java.util.ArrayList,removeIf,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; Predicate parameter escapes to global scope ... (+2 more)
java.util.ArrayList.removeLast(),java.util.ArrayList,removeLast,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; loaded object 'load elementData from parameter this' escapes to global scope ... (+1 more)
"java.util.ArrayList.removeRange(int,int)",java.util.ArrayList,removeRange,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; loaded object 'load elementData from parameter this' escapes to global scope ... (+1 more)
java.util.ArrayList.replaceAll(java.util.function.UnaryOperator),java.util.ArrayList,replaceAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; UnaryOperator parameter escapes to global scope; mutates loaded object 'callee: load elementData from parameter this' via field array element
